payment_id,policy_id,payment_date,payment_amount,payment_mode,payment_status
PAY001,P001,2025-01-15,14500,UPI,Success
PAY002,P002,2025-02-10,32000,Card,Success
PAY003,P003,2025-03-05,6500,UPI,Success
PAY004,P004,2025-01-20,38500,NetBanking,Success
PAY005,P005,2025-04-01,45000,Card,Success
PAY006,P006,2025-02-15,18000,UPI,Success
PAY007,P007,2025-05-10,35000,Card,Success
PAY008,P008,2025-06-01,5500,UPI,Success
PAY009,P009,2025-01-05,41000,NetBanking,Success
PAY010,P010,2025-03-15,16000,UPI,Success
PAY011,P011,2026-01-15,15200,UPI,Success
PAY012,P012,2026-02-10,33500,Card,Success
PAY013,P013,2026-03-05,12500,UPI,Success
PAY014,P014,2026-01-20,40000,NetBanking,Success
PAY015,P015,2026-04-01,47000,Card,Pending
PAY016,P016,2026-02-01,17000,UPI,Success
PAY017,P017,2026-03-01,19000,Card,Success
